"Name","Value"
"Schedule Name","Habituation and Conditioning_barpress_VI60   "
"Version","N/A"
"Environment","Test [1]"
"Machine Name","EPHYS-1-PC"
"Date/Time","11/19/2018 10:23:43"
"Database","*DEFAULT"
"Schedule Run ID","198"
"Finalized","No"
"Record Count","2565"
"Animal ID","FR6"
"Application_Version","ABET II Standard 2.18.5274.13905"
"Group ID","Hab+Con"
"Max_Number_Trials","0"
"Max_Schedule_Time","2550"
"Schedule_Description","VI Schedule of Reinforcement"
"Schedule_Start_Time","2018-11-19T10:23:44.017"
"User","Rebecca"
"Evnt_Time","Evnt_ID","Evnt_Name","Item_Name","Alias_Name","Group_ID","Num_Args","Arg1_Name","Arg1_Value","Arg2_Name","Arg2_Value","Arg3_Name","Arg3_Value","Arg4_Name","Arg4_Value","Arg5_Name","Arg5_Value"
"0","16","Variable Event","ITI_Value","","0","1","Value","0",,,,,,,,
"0","16","Variable Event","VI_Value","","0","1","Value","0",,,,,,,,
"0.008","16","Variable Event","ITI_Value","","1","1","Value","221",,,,,,,,
"0.008","16","Variable Event","VI_Value","","1","1","Value","66",,,,,,,,
"9.16","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"9.689","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"9.82","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"10.019","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"10.942","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"11.009","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"11.206","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"11.405","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"11.47","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"11.603","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"18.005","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"18.534","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"18.599","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"18.996","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"19.061","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"19.326","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"22.229","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"22.494","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"22.691","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"22.758","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"26.982","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"27.313","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"27.444","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"27.511","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"27.576","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"27.709","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"27.774","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"28.17","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
